# Energy	Energy^2	Magnetic	Magnet^2	Cycles
-0.742761	0.551694	0.046875	0.002197	41
-0.728476	0.530677	0.066406	0.004410	40
-0.739495	0.546853	0.042969	0.001846	37
-0.726025	0.527112	0.000000	0.000000	42
-0.742545	0.551373	0.078125	0.006104	31
-0.741933	0.550464	0.015625	0.000244	52
-0.735008	0.540236	0.066406	0.004410	30
-0.745571	0.555876	0.007812	0.000061	33
-0.750357	0.563036	0.078125	0.006104	36
-0.737072	0.543275	0.062500	0.003906	49
-0.755948	0.571457	0.027344	0.000748	52
-0.736154	0.541923	0.031250	0.000977	42
-0.738372	0.545194	0.066406	0.004410	58
-0.738815	0.545848	0.054688	0.002991	26
-0.751483	0.564727	0.015625	0.000244	41
-0.731727	0.535424	0.058594	0.003433	48
-0.741666	0.550068	0.054688	0.002991	58
-0.737452	0.543836	0.011719	0.000137	54
-0.713872	0.509613	0.019531	0.000381	37
-0.736836	0.542927	0.039062	0.001526	27
-0.739980	0.547570	0.066406	0.004410	37
-0.731023	0.534394	0.136719	0.018692	40
-0.741077	0.549194	0.046875	0.002197	49
-0.730024	0.532935	0.011719	0.000137	37
-0.744415	0.554154	0.023438	0.000549	38
-0.729489	0.532154	0.011719	0.000137	37
-0.739535	0.546913	0.070312	0.004944	38
-0.746403	0.557117	0.027344	0.000748	56
-0.733217	0.537607	0.054688	0.002991	35
-0.741949	0.550488	0.019531	0.000381	34
-0.736279	0.542107	0.035156	0.001236	33
-0.737552	0.543982	0.066406	0.004410	48
-0.753730	0.568109	0.031250	0.000977	38
-0.738468	0.545336	0.035156	0.001236	53
-0.747150	0.558233	0.101562	0.010315	33
-0.731934	0.535727	0.050781	0.002579	37
-0.739425	0.546750	0.003906	0.000015	42
-0.754593	0.569411	0.019531	0.000381	29
-0.750296	0.562944	0.023438	0.000549	37
-0.736919	0.543050	0.023438	0.000549	44
-0.744885	0.554854	0.082031	0.006729	36
-0.747232	0.558355	0.027344	0.000748	41
-0.741210	0.549392	0.046875	0.002197	59
-0.753613	0.567932	0.074219	0.005508	31
-0.744676	0.554542	0.011719	0.000137	32
-0.754325	0.569007	0.042969	0.001846	35
-0.729347	0.531947	0.074219	0.005508	26
-0.755726	0.571122	0.019531	0.000381	33
-0.737369	0.543713	0.031250	0.000977	46
-0.731890	0.535663	0.031250	0.000977	24
-0.755977	0.571501	0.062500	0.003906	38
-0.749957	0.562436	0.000000	0.000000	51
-0.731629	0.535281	0.039062	0.001526	32
-0.752327	0.565996	0.066406	0.004410	27
-0.752854	0.566789	0.003906	0.000015	44
-0.732710	0.536864	0.117188	0.013733	30
-0.737252	0.543540	0.031250	0.000977	33
-0.738228	0.544981	0.042969	0.001846	57
-0.730141	0.533106	0.046875	0.002197	27
-0.730567	0.533728	0.003906	0.000015	27
-0.733467	0.537973	0.050781	0.002579	57
-0.733153	0.537513	0.015625	0.000244	35
-0.755875	0.571348	0.046875	0.002197	44
-0.736943	0.543085	0.011719	0.000137	23
-0.750795	0.563694	0.066406	0.004410	40
-0.722037	0.521337	0.011719	0.000137	34
-0.753729	0.568107	0.035156	0.001236	48
-0.760043	0.577665	0.015625	0.000244	29
-0.756034	0.571587	0.019531	0.000381	29
-0.735540	0.541019	0.054688	0.002991	67
-0.739499	0.546858	0.023438	0.000549	41
-0.727721	0.529578	0.027344	0.000748	48
-0.733942	0.538671	0.039062	0.001526	33
-0.754662	0.569515	0.046875	0.002197	42
-0.748738	0.560608	0.000000	0.000000	56
-0.740033	0.547649	0.050781	0.002579	33
-0.745455	0.555703	0.019531	0.000381	28
-0.737216	0.543487	0.027344	0.000748	40
-0.727319	0.528993	0.035156	0.001236	43
-0.754592	0.569409	0.011719	0.000137	30
-0.746738	0.557618	0.000000	0.000000	50
-0.744721	0.554610	0.027344	0.000748	44
-0.754372	0.569077	0.070312	0.004944	26
-0.739490	0.546846	0.007812	0.000061	52
-0.737767	0.544300	0.011719	0.000137	36
-0.740393	0.548182	0.015625	0.000244	53
-0.737222	0.543496	0.066406	0.004410	40
-0.742004	0.550570	0.015625	0.000244	31
-0.734953	0.540156	0.007812	0.000061	27
-0.749880	0.562320	0.097656	0.009537	31
-0.732634	0.536753	0.066406	0.004410	43
-0.734343	0.539260	0.054688	0.002991	28
-0.748636	0.560456	0.039062	0.001526	46
-0.734283	0.539171	0.054688	0.002991	54
-0.744208	0.553845	0.042969	0.001846	40
-0.753467	0.567713	0.035156	0.001236	46
-0.746965	0.557957	0.015625	0.000244	41
-0.746670	0.557516	0.042969	0.001846	31
-0.753992	0.568504	0.011719	0.000137	33
-0.742105	0.550720	0.007812	0.000061	34
-0.732697	0.536846	0.027344	0.000748	24
-0.743522	0.552825	0.011719	0.000137	55
-0.744751	0.554654	0.019531	0.000381	42
-0.726469	0.527758	0.023438	0.000549	25
-0.736914	0.543043	0.023438	0.000549	38
-0.748642	0.560465	0.066406	0.004410	51
-0.735023	0.540258	0.058594	0.003433	33
-0.740349	0.548116	0.031250	0.000977	41
-0.756818	0.572773	0.027344	0.000748	38
-0.771690	0.595505	0.082031	0.006729	28
-0.731759	0.535471	0.023438	0.000549	31
-0.744803	0.554732	0.015625	0.000244	32
-0.746554	0.557342	0.046875	0.002197	40
-0.744015	0.553559	0.011719	0.000137	32
-0.740999	0.549079	0.035156	0.001236	24
-0.737084	0.543293	0.046875	0.002197	40
-0.723784	0.523863	0.070312	0.004944	49
-0.750281	0.562921	0.007812	0.000061	53
-0.745608	0.555931	0.066406	0.004410	41
-0.746540	0.557322	0.082031	0.006729	36
-0.738110	0.544806	0.007812	0.000061	57
-0.750174	0.562761	0.066406	0.004410	27
-0.747996	0.559498	0.039062	0.001526	60
-0.724284	0.524587	0.027344	0.000748	36
-0.743001	0.552050	0.042969	0.001846	33
-0.736852	0.542952	0.050781	0.002579	29
-0.744452	0.554208	0.042969	0.001846	33
-0.736277	0.542103	0.042969	0.001846	29
-0.737775	0.544312	0.007812	0.000061	33
-0.741354	0.549606	0.015625	0.000244	31
-0.742993	0.552039	0.054688	0.002991	37
-0.733941	0.538670	0.027344	0.000748	66
-0.751947	0.565425	0.054688	0.002991	41
-0.752943	0.566923	0.039062	0.001526	52
-0.734189	0.539033	0.046875	0.002197	33
-0.741232	0.549425	0.027344	0.000748	38
-0.730954	0.534294	0.042969	0.001846	29
-0.743758	0.553176	0.015625	0.000244	30
-0.758240	0.574927	0.027344	0.000748	46
-0.757866	0.574362	0.011719	0.000137	49
-0.736564	0.542526	0.039062	0.001526	45
-0.759965	0.577547	0.042969	0.001846	33
-0.743023	0.552083	0.015625	0.000244	38
-0.736415	0.542307	0.039062	0.001526	32
-0.738211	0.544956	0.039062	0.001526	41
-0.747409	0.558620	0.007812	0.000061	39
-0.743440	0.552704	0.062500	0.003906	32
-0.749960	0.562441	0.019531	0.000381	60
-0.740967	0.549031	0.050781	0.002579	68
-0.743748	0.553162	0.039062	0.001526	43
-0.748070	0.559608	0.019531	0.000381	61
-0.735002	0.540228	0.003906	0.000015	39
-0.727875	0.529802	0.074219	0.005508	35
-0.746388	0.557095	0.015625	0.000244	30
-0.753898	0.568362	0.046875	0.002197	31
-0.737858	0.544434	0.054688	0.002991	64
-0.756237	0.571894	0.000000	0.000000	29
-0.738321	0.545119	0.050781	0.002579	33
-0.736443	0.542349	0.066406	0.004410	49
-0.756749	0.572669	0.097656	0.009537	29
-0.749386	0.561580	0.003906	0.000015	63
-0.746609	0.557425	0.000000	0.000000	44
-0.741679	0.550087	0.031250	0.000977	72
-0.739078	0.546236	0.093750	0.008789	42
-0.729458	0.532109	0.007812	0.000061	28
-0.737554	0.543986	0.035156	0.001236	44
-0.745352	0.555550	0.019531	0.000381	30
-0.742888	0.551883	0.042969	0.001846	31
-0.750778	0.563667	0.027344	0.000748	35
-0.732521	0.536587	0.039062	0.001526	28
-0.736376	0.542249	0.027344	0.000748	29
-0.716444	0.513292	0.015625	0.000244	47
-0.724787	0.525316	0.027344	0.000748	34
-0.751161	0.564243	0.027344	0.000748	40
-0.729575	0.532280	0.121094	0.014664	42
-0.749886	0.562329	0.046875	0.002197	53
-0.748170	0.559758	0.003906	0.000015	59
-0.737883	0.544471	0.007812	0.000061	36
-0.734080	0.538874	0.023438	0.000549	32
-0.751196	0.564295	0.015625	0.000244	26
-0.732963	0.537235	0.011719	0.000137	51
-0.741755	0.550201	0.000000	0.000000	44
-0.750026	0.562539	0.062500	0.003906	75
-0.732138	0.536026	0.007812	0.000061	41
-0.737662	0.544146	0.023438	0.000549	43
-0.738458	0.545320	0.039062	0.001526	52
-0.755882	0.571357	0.003906	0.000015	44
-0.746190	0.556799	0.042969	0.001846	55
-0.738766	0.545776	0.000000	0.000000	41
-0.726670	0.528049	0.000000	0.000000	22
-0.734557	0.539574	0.000000	0.000000	45
-0.754706	0.569581	0.019531	0.000381	36
-0.730439	0.533541	0.062500	0.003906	35
-0.748663	0.560496	0.046875	0.002197	50
-0.765669	0.586249	0.019531	0.000381	48
-0.743737	0.553145	0.027344	0.000748	38
