# Energy	Energy^2	Cycle_time
-0.723458	0.523392	74
-0.738678	0.545645	28
-0.742606	0.551464	51
-0.741746	0.550188	38
-0.743854	0.553319	43
-0.733560	0.538110	38
-0.751008	0.564013	50
-0.750259	0.562888	43
-0.742118	0.550739	43
-0.737536	0.543959	40
-0.752108	0.565666	53
-0.747928	0.559397	46
-0.755270	0.570433	51
-0.744190	0.553818	39
-0.745408	0.555633	36
-0.754778	0.569690	33
-0.748736	0.560605	33
-0.741705	0.550126	48
-0.745217	0.555349	36
-0.750431	0.563147	34
-0.746732	0.557609	35
-0.738729	0.545720	31
-0.747284	0.558433	39
-0.749030	0.561045	34
-0.730714	0.533943	36
-0.738307	0.545097	59
-0.742713	0.551622	45
-0.755459	0.570718	41
-0.743796	0.553233	34
-0.747633	0.558955	80
-0.740481	0.548312	48
-0.745174	0.555284	49
-0.749172	0.561258	75
-0.743351	0.552571	38
-0.749076	0.561115	43
-0.734664	0.539731	33
-0.758124	0.574752	53
-0.739480	0.546831	35
-0.750422	0.563133	57
-0.743468	0.552745	41
-0.750161	0.562741	26
-0.742037	0.550619	30
-0.733015	0.537310	33
-0.747286	0.558437	49
-0.745214	0.555344	46
-0.749281	0.561422	51
-0.736865	0.542971	48
-0.746380	0.557083	70
-0.731697	0.535381	66
-0.750067	0.562601	54
-0.745365	0.555569	30
-0.741868	0.550368	39
-0.736062	0.541787	33
-0.741468	0.549775	43
-0.751614	0.564924	34
-0.751159	0.564239	55
-0.745309	0.555485	28
-0.743198	0.552344	36
-0.743648	0.553012	41
-0.734326	0.539235	39
-0.747807	0.559215	39
-0.737542	0.543968	35
-0.746159	0.556754	29
-0.746397	0.557108	61
-0.744238	0.553890	76
-0.740790	0.548769	56
-0.741802	0.550269	38
-0.757212	0.573370	41
-0.743771	0.553195	66
-0.753088	0.567142	47
-0.748363	0.560047	52
-0.755139	0.570234	59
-0.748048	0.559575	40
-0.745595	0.555912	54
-0.743005	0.552056	60
-0.748474	0.560213	45
-0.749032	0.561048	29
-0.746652	0.557489	40
-0.734649	0.539710	68
-0.748198	0.559800	38
-0.744564	0.554376	34
-0.744713	0.554598	39
-0.734518	0.539517	44
-0.740296	0.548038	60
-0.743906	0.553396	31
-0.735205	0.540526	44
-0.738057	0.544729	31
-0.737443	0.543823	49
-0.746011	0.556533	51
-0.754553	0.569351	35
-0.746634	0.557462	36
-0.756017	0.571562	40
-0.740794	0.548775	46
-0.749437	0.561656	47
-0.746392	0.557101	33
-0.736516	0.542456	42
-0.747918	0.559382	47
-0.754561	0.569363	59
-0.748854	0.560782	46
-0.747112	0.558176	36
-0.750744	0.563617	37
-0.736698	0.542724	45
-0.747636	0.558960	64
-0.737708	0.544213	35
-0.751901	0.565355	44
-0.745991	0.556502	39
-0.740287	0.548025	39
-0.747128	0.558200	29
-0.752048	0.565576	37
-0.744038	0.553593	37
-0.738018	0.544671	48
-0.734551	0.539565	32
-0.744808	0.554739	40
-0.753638	0.567970	46
-0.749416	0.561625	40
-0.739423	0.546746	34
-0.741919	0.550444	46
-0.743586	0.552919	41
-0.744549	0.554354	33
-0.745849	0.556290	37
-0.748597	0.560397	42
-0.755279	0.570447	35
-0.743452	0.552721	50
-0.730590	0.533762	51
-0.747603	0.558910	57
-0.737668	0.544154	40
-0.738335	0.545139	59
-0.744934	0.554927	37
-0.741200	0.549377	42
-0.729813	0.532628	48
-0.740087	0.547728	32
-0.742255	0.550943	31
-0.747544	0.558822	53
-0.746696	0.557555	36
-0.744167	0.553785	60
-0.751193	0.564291	30
-0.734175	0.539013	31
-0.750501	0.563251	41
-0.748196	0.559797	53
-0.740520	0.548369	39
-0.754288	0.568951	37
-0.750164	0.562746	30
-0.754451	0.569196	43
-0.753629	0.567956	53
-0.745866	0.556315	37
-0.739249	0.546489	47
-0.732587	0.536683	50
-0.733446	0.537942	47
-0.746391	0.557099	120
-0.735606	0.541116	45
-0.741482	0.549796	35
-0.751584	0.564878	41
-0.731935	0.535728	43
-0.738216	0.544962	31
-0.752780	0.566677	34
-0.741776	0.550231	34
-0.747376	0.558571	38
-0.742963	0.551994	38
-0.739557	0.546944	57
-0.750367	0.563050	33
-0.749052	0.561079	43
-0.750216	0.562823	41
-0.746552	0.557341	37
-0.739401	0.546714	23
-0.758209	0.574881	35
-0.738668	0.545631	47
-0.744917	0.554902	43
-0.751865	0.565301	34
-0.746197	0.556810	33
-0.746530	0.557307	32
-0.759907	0.577459	37
-0.747106	0.558168	43
-0.742734	0.551653	36
-0.752535	0.566308	51
-0.744477	0.554247	43
-0.733965	0.538705	30
-0.744642	0.554492	46
-0.748784	0.560677	36
-0.743804	0.553244	46
-0.750600	0.563400	43
-0.739561	0.546950	33
-0.740509	0.548354	44
-0.742257	0.550945	48
-0.742392	0.551146	37
-0.743890	0.553373	31
-0.747282	0.558431	34
-0.742268	0.550962	32
-0.748171	0.559760	36
-0.737017	0.543194	42
-0.744634	0.554481	39
-0.748647	0.560473	37
-0.745894	0.556357	40
-0.740114	0.547769	36
-0.743508	0.552804	40
-0.742421	0.551189	33
-0.752138	0.565712	51
-0.749999	0.562499	25
-0.746619	0.557440	37
-0.742369	0.551111	47
-0.742493	0.551296	33
-0.736127	0.541883	37
-0.737545	0.543973	38
-0.737802	0.544351	50
-0.748538	0.560309	57
-0.742509	0.551319	36
-0.743788	0.553220	44
-0.746010	0.556531	35
-0.740996	0.549074	35
-0.738745	0.545744	42
-0.741061	0.549172	32
-0.746941	0.557920	65
-0.745323	0.555507	56
-0.739605	0.547015	35
-0.735112	0.540389	28
-0.744815	0.554749	62
-0.742105	0.550720	39
-0.744248	0.553905	54
-0.748627	0.560443	39
-0.753507	0.567773	36
-0.744939	0.554934	51
-0.746342	0.557026	43
-0.737957	0.544580	43
-0.738639	0.545588	49
-0.746971	0.557965	35
-0.745265	0.555420	52
-0.751071	0.564108	36
-0.750956	0.563936	41
-0.736793	0.542864	41
-0.745641	0.555980	30
-0.754824	0.569759	45
-0.738515	0.545404	37
-0.749140	0.561211	58
-0.740518	0.548366	41
-0.7
